"id_jugador","jugador_nombre_limpio","seleccion","foto_url","thesportsdb_id","nombre_api","estado_foto","error_api"
"418","YASSER IBRAHIM Ahmed ELHANAFY","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ahmed+Elhanafy+Yasser+Ibrahim"
"419","MOHAMED HANY Gamal ELDEMERDASH M.","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Gamal+Eldemerdash+M.+Mohamed+Hany"
"420","HOSSAM ABDELMAGUID Abdelmegeed Abdelsalam","Egypt","","","","no_encontrada",""
"421","RAMY RABIA Hisham Abdelaziz Moustafa R. RABIAA","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/zcxga31750752688.png","34183890","Ramy Rabia","encontrada",""
"422","MOHAMED ABDELMONEIM Elsayed M AHMED ABDELMONIEM","Egypt","","","","no_encontrada",""
"423","TREZEGUET Mahmoud Ahmed Ibrahim HASSAN M.","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/kd5p321750397912.png","34167707","Trézéguet","encontrada",""
"424","EMAM ASHOUR Metwaly ABDELGHANY E.","Egypt","","","","no_encontrada",""
"425","HAMZA ABDELKARIM Mohamed E SELIM","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/htz7531780139779.png","34435946","Hamza Abdelkarim","encontrada",""
"426","MOHAMED SALAH Hamed Mahrous GHALY M.","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/3blc581757088735.png","34145506","Mohamed Salah","encontrada",""
"427","MOSTAFA ZICO Mohamed Zaky ABDELRAOUF","Egypt","","","","no_encontrada",""
"428","HAISSEM HASSAN Yousry Fouad A H.","Egypt","","","","no_encontrada",""
"429","AHMED FATOUH Mohamed Aboelfetouh A.","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/fgb6gv1780140478.png","34195918","Ahmed Fatouh","encontrada",""
"430","HAMDY FATHY Abdelhalim ABDELFATTAH H.","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/x2vi4j1750397927.png","34177377","Hamdy Fathy","encontrada",""
"431","KARIM HAFEZ Ramadan SEIFELDIN K.","Egypt","https://r2.thesportsdb.com/images/media/player/cutout/fou13o1780140654.png","34192868","Karim Hafez","encontrada",""
"432","MAHDY SOLIMAN Mohamed IBRAHIM M.","Egypt","","","","no_encontrada",""
"433","MOHANAD LASHIN Mostafa Ahmed A M.","Egypt","","","","no_encontrada",""
"434","NABIL DONGA Emad Aly Elmahdy","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Nabil+Donga+Emad+Aly+Elmahdy"
"435","MARAWAN ATTIA Fahim GHALLAB M.","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Fahim+Ghallab+M.+Marawan+Attia"
"436","IBRAHIM ADEL Aly Mohamed HASSAN I.","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Aly+Mohamed+Hassan+I.+Ibrahim+Adel"
"437","MAHMOUD SABER Abdelmohsen H M.","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Abdelmohsen+H+M.+Mahmoud+Saber"
"438","OMAR MARMOUSH Khaled Mohamed Abdelsalam","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Khaled+Mohamed+Abdelsalam+Omar+Marmoush"
"439","MOSTAFA SHOUBIR Ahmed Abdelaziz Mohame","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ahmed+Abdelaziz+Mohame+Mostafa+Shoubir"
"440","TAREK ALAA Abdelghaffar Abdel ELGEBALY T.","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Abdelghaffar+Abdel+Elgebaly+T.+Tarek+Alaa"
"441","ZIZO Ahmed Mostafa Mohamed SAYED","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ahmed+Mostafa+Mohamed+Sayed+Zizo"
"442","MOHAMED ALAA Alaaeldin Soliman M AHMED","Egypt","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Alaaeldin+Soliman+M+Ahmed+Mohamed+Alaa"
"443","PICKFORD Jordan Lee","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jordan+Lee+Pickford"
"444","KONSA Ezri Ngoyo","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ezri+Ngoyo+Konsa"
"445","OREILLY Nico O'REILLY","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Nico+O%27Reilly+Oreilly"
"446","RICE Declan","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Declan+Rice"
"447","STONES John","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=John+Stones"
"448","GUEHI Marc Addji Keaninkin Marc-Isreal","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Marc+Addji+Keaninkin+Marc-Isreal+Guehi"
"449","SAKA Bukayo Ayoyinka","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Bukayo+Ayoyinka+Saka"
"450","ANDERSON Elliot Junior","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Elliot+Junior+Anderson"
"451","KANE Harry Edward","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Harry+Edward+Kane"
"452","BELLINGHAM Jude Victor William","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jude+Victor+William+Bellingham"
"453","RASHFORD Marcus","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Marcus+Rashford"
"454","LIVRAMENTO Tino Valentino Francisco","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Tino+Valentino+Francisco+Livramento"
"455","HENDERSON Dean Bradley D.","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Dean+Bradley+D.+Henderson"
"456","HENDERSON Jordan Brian J.","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jordan+Brian+J.+Henderson"
"457","BURN Dan Daniel Johnson","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Dan+Daniel+Johnson+Burn"
"458","MAINOO Kobbie Boateng","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Kobbie+Boateng+Mainoo"
"459","ROGERS Morgan Elliot","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Morgan+Elliot+Rogers"
"460","GORDON Anthony Michael","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Anthony+Michael+Gordon"
"461","WATKINS Ollie Oliver George Arthur","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ollie+Oliver+George+Arthur+Watkins"
"462","MADUEKE Noni Chukwunonso Azuka Tristan","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Noni+Chukwunonso+Azuka+Tristan+Madueke"
"463","EZE Eberechi Oluchi","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Eberechi+Oluchi+Eze"
"464","TONEY Ivan Benjamin Elijah","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ivan+Benjamin+Elijah+Toney"
"465","TRAFFORD James Harrington","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=James+Harrington+Trafford"
"466","JAMES Reece Lewis","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Reece+Lewis+James"
"467","SPENCE Djed Diop Tehuti Djed-Hotep","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Djed+Diop+Tehuti+Djed-Hotep+Spence"
"468","QUANSAH Jarell Amorin","England","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jarell+Amorin+Quansah"
"469","SAMBA Brice Lauriche","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Brice+Lauriche+Samba"
"470","GUSTO Malo Arthur","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Malo+Arthur+Gusto"
"471","DIGNE Lucas","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Lucas+Digne"
"472","UPAMECANO Dayot Dayotchanculle Oswald","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Dayot+Dayotchanculle+Oswald+Upamecano"
"473","KOUNDE Jules Olivier","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Jules+Olivier+Kounde"
"474","KONE Manu Kouadio Emmanuel Boris","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Manu+Kouadio+Emmanuel+Boris+Kone"
"475","DEMBELE Ousmane Masour","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Ousmane+Masour+Dembele"
"476","TCHOUAMENI Aurelien Djani","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Aurelien+Djani+Tchouameni"
"477","THURAM Marcus Lilian THURAM-ULIEN","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Marcus+Lilian+Thuram-Ulien+Thuram"
"478","MBAPPE Kylian LOTTIN","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Kylian+Lottin+Mbappe"
"479","OLISE Michael Akpovie","France","","","","no_encontrada","429 Client Error: Too Many Requests for url: https://www.thesportsdb.com/api/v1/json/123/searchplayers.php?p=Michael+Akpovie+Olise"
